num_conjunctive_edges,num_disjunctive_edges,num_nodes_inferred,num_nodes_total,num_edges_total,betweenness_mean,betweenness_range,perm,perm_idx,signature
12,18,11,11,30,0.09218106995884773,0.046296296296296294,"(3, 0, 2)",110,1+1+1
12,18,11,11,30,0.0928395061728395,0.07555555555555557,"(3, 0, 3)",111,2+1
12,18,11,11,30,0.07901234567901236,0.01851851851851853,"(3, 0, 4)",112,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(3, 0, 5)",113,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(3, 1, 0)",114,1+1+1
12,18,11,11,30,0.07950617283950619,0.043333333333333335,"(3, 1, 1)",115,2+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(3, 1, 2)",116,1+1+1
12,18,11,11,30,0.07950617283950619,0.043333333333333335,"(3, 1, 3)",117,2+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(3, 1, 4)",118,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(3, 1, 5)",119,1+1+1
12,18,11,11,30,0.09218106995884773,0.04629629629629632,"(3, 2, 0)",120,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(3, 2, 1)",121,1+1+1
12,18,11,11,30,0.10699588477366256,0.08280423280423284,"(3, 2, 2)",122,2+1
12,18,11,11,30,0.10699588477366256,0.08280423280423281,"(3, 2, 3)",123,2+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(3, 2, 4)",124,1+1+1
12,18,11,11,30,0.09218106995884773,0.04629629629629628,"(3, 2, 5)",125,1+1+1
12,18,11,11,30,0.09283950617283951,0.07555555555555556,"(3, 3, 0)",126,2+1
12,18,11,11,30,0.07950617283950617,0.043333333333333335,"(3, 3, 1)",127,2+1
12,18,11,11,30,0.10699588477366256,0.08280423280423281,"(3, 3, 2)",128,2+1
12,18,11,11,30,0.1185185185185185,0.08888888888888888,"(3, 3, 3)",129,3
12,18,11,11,30,0.0928395061728395,0.07555555555555557,"(3, 3, 4)",130,2+1
12,18,11,11,30,0.10699588477366254,0.08280423280423281,"(3, 3, 5)",131,2+1
12,18,11,11,30,0.07901234567901234,0.01851851851851853,"(3, 4, 0)",132,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(3, 4, 1)",133,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(3, 4, 2)",134,1+1+1
