job,machine,btw,perm,perm_idx,betweenness_mean
0,1,0.12910539215686273,"(0, 0, 1, 1)",25,0.0784313725490196
0,2,0.09981617647058823,"(0, 0, 1, 1)",25,0.0784313725490196
0,3,0.03731617647058823,"(0, 0, 1, 1)",25,0.0784313725490196
1,0,0.04748774509803922,"(0, 0, 1, 1)",25,0.0784313725490196
1,1,0.12910539215686273,"(0, 0, 1, 1)",25,0.0784313725490196
1,2,0.09981617647058823,"(0, 0, 1, 1)",25,0.0784313725490196
1,3,0.03731617647058823,"(0, 0, 1, 1)",25,0.0784313725490196
2,0,0.04748774509803922,"(0, 0, 1, 1)",25,0.0784313725490196
2,1,0.12910539215686273,"(0, 0, 1, 1)",25,0.0784313725490196
2,3,0.0998161764705882,"(0, 0, 1, 1)",25,0.0784313725490196
2,2,0.037316176470588235,"(0, 0, 1, 1)",25,0.0784313725490196
3,0,0.047487745098039214,"(0, 0, 1, 1)",25,0.0784313725490196
3,1,0.12910539215686273,"(0, 0, 1, 1)",25,0.0784313725490196
3,3,0.09981617647058823,"(0, 0, 1, 1)",25,0.0784313725490196
3,2,0.03731617647058823,"(0, 0, 1, 1)",25,0.0784313725490196
0,0,0.036703431372549014,"(0, 0, 1, 2)",26,0.07207414215686274
0,1,0.09393382352941176,"(0, 0, 1, 2)",26,0.07207414215686274
0,2,0.08063725490196079,"(0, 0, 1, 2)",26,0.07207414215686274
0,3,0.02959558823529412,"(0, 0, 1, 2)",26,0.07207414215686274
1,0,0.036703431372549014,"(0, 0, 1, 2)",26,0.07207414215686274
1,1,0.09393382352941175,"(0, 0, 1, 2)",26,0.07207414215686274
1,2,0.08063725490196079,"(0, 0, 1, 2)",26,0.07207414215686274
1,3,0.02959558823529412,"(0, 0, 1, 2)",26,0.07207414215686274
2,0,0.051960784313725486,"(0, 0, 1, 2)",26,0.07207414215686274
2,1,0.11924019607843137,"(0, 0, 1, 2)",26,0.07207414215686274
2,3,0.0801470588235294,"(0, 0, 1, 2)",26,0.07207414215686274
2,2,0.06580882352941175,"(0, 0, 1, 2)",26,0.07207414215686274
3,0,0.0860294117647059,"(0, 0, 1, 2)",26,0.07207414215686274
3,2,0.1338235294117647,"(0, 0, 1, 2)",26,0.07207414215686274
3,1,0.0881127450980392,"(0, 0, 1, 2)",26,0.07207414215686274
3,3,0.0463235294117647,"(0, 0, 1, 2)",26,0.07207414215686274
0,0,0.03872549019607843,"(0, 0, 1, 3)",27,0.06838235294117648
0,1,0.09840686274509806,"(0, 0, 1, 3)",27,0.06838235294117648
0,2,0.06629901960784314,"(0, 0, 1, 3)",27,0.06838235294117648
0,3,0.02156862745098039,"(0, 0, 1, 3)",27,0.06838235294117648
1,0,0.03872549019607843,"(0, 0, 1, 3)",27,0.06838235294117648
1,1,0.09840686274509805,"(0, 0, 1, 3)",27,0.06838235294117648
1,2,0.06629901960784314,"(0, 0, 1, 3)",27,0.06838235294117648
1,3,0.02156862745098039,"(0, 0, 1, 3)",27,0.06838235294117648
2,0,0.051715686274509794,"(0, 0, 1, 3)",27,0.06838235294117648
2,1,0.1156862745098039,"(0, 0, 1, 3)",27,0.06838235294117648
2,3,0.06666666666666667,"(0, 0, 1, 3)",27,0.06838235294117648
2,2,0.04105392156862745,"(0, 0, 1, 3)",27,0.06838235294117648
