exact_class_id,n_instances,signed_diff_m0,signed_diff_m1,signed_diff_m2,signed_diff_m3,abs_diff_m0,abs_diff_m1,abs_diff_m2,abs_diff_m3,mean_perm_matrix_json,std_perm_matrix_json
25,576,-2.41268115942029,-0.6121980676328502,0.9420289855072463,2.0828502415458936,3.2973913043478262,2.9495652173913043,2.9495652173913043,3.2973913043478262,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
26,576,-1.8280193236714977,-0.6176328502415459,1.5903381642512078,0.8553140096618358,2.9495652173913043,3.617391304347826,3.617391304347826,2.9495652173913043,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
27,576,-2.7797101449275363,-0.4514492753623188,1.4231884057971014,1.8079710144927537,3.617391304347826,2.9495652173913043,2.9495652173913043,3.617391304347826,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
28,576,-1.9495169082125603,-0.7026570048309179,1.0332125603864735,1.6189613526570048,2.9495652173913043,3.2973913043478262,3.2973913043478262,2.9495652173913043,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
29,576,-2.657608695652174,0.001570048309178744,0.9698067632850241,1.686231884057971,3.617391304347826,3.812173913043478,3.812173913043478,3.617391304347826,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
30,576,-1.71256038647343,-0.34782608695652173,1.6371980676328501,0.42318840579710143,2.9495652173913043,4.1460869565217395,4.1460869565217395,2.9495652173913043,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
31,576,-1.7340579710144928,0.577536231884058,-0.24106280193236715,1.3975845410628018,2.9495652173913043,2.9495652173913043,2.9495652173913043,2.9495652173913043,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
32,576,-1.6314009661835749,0.4777777777777778,0.8169082125603865,0.3367149758454106,2.9495652173913043,2.9495652173913043,2.9495652173913043,2.9495652173913043,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
33,576,-2.3466183574879227,-0.6896135265700483,1.665096618357488,1.3711352657004832,3.2973913043478262,2.9495652173913043,2.9495652173913043,3.2973913043478262,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
34,576,-1.872463768115942,-0.5826086956521739,1.2367149758454106,1.2183574879227053,2.9495652173913043,3.617391304347826,3.617391304347826,2.9495652173913043,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
35,576,-2.22487922705314,-0.22729468599033817,1.20024154589372,1.2519323671497584,3.2973913043478262,3.812173913043478,3.812173913043478,3.2973913043478262,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
36,576,-1.62487922705314,-0.23550724637681159,1.833937198067633,0.02644927536231884,2.9495652173913043,4.452173913043478,4.452173913043478,2.9495652173913043,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
