paths,flatBoolVars,flatIntVars,flatBoolConstraints,flatIntConstraints,evaluatedHalfReifiedConstraints,method,flatTime,objective,objectiveBound,boolVariables,failures,propagations,solveTime,time,nSolutions,perm_idx,perm,status,timeout_ms
0,18,20,9,38,18,minimize,70.173,,13,16,1,259,22.883,111.0,3,121,"(3, 2, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.788,,14,14,3,158,12.405,97.0,2,122,"(3, 2, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.382,,14,19,1,384,22.873,106.0,2,123,"(3, 2, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.18199999999999,,13,20,1,381,10.663,102.0,5,124,"(3, 2, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.268,,13,11,0,125,15.58,102.0,3,125,"(3, 2, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,73.767,,13,18,0,290,11.142000000000001,106.0,3,126,"(3, 3, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.84899999999999,,14,10,0,103,14.115,99.0,2,127,"(3, 3, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.959,,14,9,0,0,15.886999999999999,100.0,3,128,"(3, 3, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.316,,14,9,0,86,18.279,110.0,1,129,"(3, 3, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.625,,13,16,0,271,16.899,99.0,3,130,"(3, 3, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.166,,14,14,3,285,17.57,94.0,2,131,"(3, 3, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.012,,12,19,0,305,23.616999999999997,107.0,4,132,"(3, 4, 0)",OPTIMAL_SOLUTION,1641.0
