scope_type,scope_value,jobs,machines,n_files,benchmark_families,model_type,distribution,params,n_params,loglik,aic,bic,gof_test,gof_stat,gof_pvalue
size_family,15x15,15,15,15,"la,ta",discrete,discrete_uniform_minmax,"{""low"": 1, ""high"": 99}",2,-15508.52949420424,31021.05898840848,31033.307289615095,chi2_uniform_minmax_bins10,13.592533333333336,0.13757572916202515
size_family,15x15,15,15,15,"la,ta",discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-15542.44937770981,31084.89875541962,31084.89875541962,chi2_uniform_1_100_bins10,13.897777777777778,0.12600821626179837
size_family,15x15,15,15,15,"la,ta",discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-15542.44937770981,31084.89875541962,31084.89875541962,chi2_uniform_0_99_bins10,23.509629629629625,0.005147752985533076
size_family,15x15,15,15,15,"la,ta",discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-15576.03174433925,31152.0634886785,31152.0634886785,chi2_uniform_0_100_bins10,23.950483501683514,0.00438028570395684
size_family,15x15,15,15,15,"la,ta",discrete,poisson,"{""mu"": 51.09837037037037}",1,-39420.9455139911,78843.8910279822,78850.01517858551,,,
size_family,15x15,15,15,15,"la,ta",continuous_exploratory,uniform,"[1.0, 98.0]",2,-15474.265240513178,30952.530481026355,30964.77878223297,KS_continuous,0.02472562358276642,0.03173648674097995
size_family,15x15,15,15,15,"la,ta",continuous_exploratory,weibull_min,"[2.44667764158935, -12.199481989369463, 71.50710890083423]",3,-15980.146060716635,31966.29212143327,31984.66457324319,KS_continuous,0.07023650984020957,6.370931614252517e-15
size_family,15x15,15,15,15,"la,ta",continuous_exploratory,norm,"[51.09837037037037, 28.1921099602526]",2,-16058.184806330115,32120.36961266023,32132.617913866845,KS_continuous,0.06503221964709638,7.473071233549948e-13
size_family,15x15,15,15,15,"la,ta",continuous_exploratory,lognorm,"[5.3767084404177416e-05, -524287.0, 524338.0976124653]",3,-16058.187295240159,32122.374590480318,32140.747042290237,KS_continuous,0.06502848717182941,7.497662421038656e-13
size_family,15x15,15,15,15,"la,ta",continuous_exploratory,gamma,"[5995.731718097211, -2132.1943056287, 0.364141372023684]",3,-16058.601980347488,32123.203960694977,32141.576412504895,KS_continuous,0.06524403791844713,6.200057894031322e-13
size_family,15x15,15,15,15,"la,ta",continuous_exploratory,expon,"[1.0, 50.09837037037037]",2,-16584.711120081913,33173.422240163825,33185.67054137044,KS_continuous,0.16470725859407076,1.7576856442248688e-80
size_family,20x5,20,5,6,"ft,la",discrete,discrete_uniform_minmax,"{""low"": 2, ""high"": 99}",2,-2750.9804872023433,5505.960974404687,5514.754833715119,chi2_uniform_minmax_bins10,10.206074074074074,0.33406150928769224
size_family,20x5,20,5,6,"ft,la",discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-2757.0719100807537,5514.143820161507,5514.143820161507,chi2_uniform_1_99_bins10,13.851333333333333,0.12771273408824185
size_family,20x5,20,5,6,"ft,la",discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-2763.102111592855,5526.20422318571,5526.20422318571,chi2_uniform_1_100_bins10,16.13333333333333,0.06414890853905256
size_family,20x5,20,5,6,"ft,la",discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-2763.102111592855,5526.20422318571,5526.20422318571,chi2_uniform_0_99_bins10,19.566666666666666,0.02078331049728338
size_family,20x5,20,5,6,"ft,la",discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-2769.0723101047556,5538.144620209511,5538.144620209511,chi2_uniform_0_100_bins10,19.465136363636354,0.021515915548142472
size_family,20x5,20,5,6,"ft,la",discrete,poisson,"{""mu"": 51.855}",1,-6453.481312665515,12908.96262533103,12913.359554986248,,,
size_family,20x5,20,5,6,"ft,la",continuous_exploratory,uniform,"[2.0, 97.0]",2,-2744.8265871020294,5493.653174204059,5502.4470335144915,KS_continuous,0.039209621993127136,0.3068326591511742
size_family,20x5,20,5,6,"ft,la",continuous_exploratory,weibull_min,"[2.4504697389643137, -9.12226710437761, 68.88017090974449]",3,-2817.6579253210557,5641.315850642111,5654.50663960776,KS_continuous,0.07839284609834396,0.0011813517648023597
size_family,20x5,20,5,6,"ft,la",continuous_exploratory,norm,"[51.855, 27.113723001461825]",2,-2831.387110043453,5666.774220086906,5675.568079397339,KS_continuous,0.07629627307240494,0.001747419267628248
size_family,20x5,20,5,6,"ft,la",continuous_exploratory,lognorm,"[1.2928525274812928e-05, -2097149.999999999, 2097201.8548247283]",3,-2831.3872026579247,5668.774405315849,5681.965194281498,KS_continuous,0.07629685210925663,0.0017472329107303909
size_family,20x5,20,5,6,"ft,la",continuous_exploratory,gamma,"[7734.17985812444, -2332.9278128819506, 0.3083430049880893]",3,-2831.444225113223,5668.888450226446,5682.079239192095,KS_continuous,0.07665872359748738,0.0016343117575951937
size_family,20x5,20,5,6,"ft,la",continuous_exploratory,expon,"[2.0, 49.855]",2,-2945.4712753684535,5894.942550736907,5903.73641004734,KS_continuous,0.1810506385302354,1.1086666164930679e-17
size_family,20x10,20,10,10,"la,swv",discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-9210.340371976183,18420.680743952365,18420.680743952365,chi2_uniform_1_100_bins10,14.32,0.11138885593207007
size_family,20x10,20,10,10,"la,swv",discrete,discrete_uniform_minmax,"{""low"": 1, ""high"": 100}",2,-9210.340371976183,18424.680743952365,18435.88254887145,chi2_uniform_minmax_bins10,14.32,0.11138885593207007
size_family,20x10,20,10,10,"la,swv",discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-9230.24103368252,18460.48206736504,18460.48206736504,chi2_uniform_0_100_bins10,21.812490909090908,0.009492625226406955
size_family,20x10,20,10,10,"la,swv",discrete,poisson,"{""mu"": 51.305}",1,-22695.70527846123,45393.41055692246,45399.011459382,,,
size_family,20x10,20,10,10,"la,swv",discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-inf,inf,inf,chi2_uniform_1_99_bins10,,
size_family,20x10,20,10,10,"la,swv",discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-inf,inf,inf,chi2_uniform_0_99_bins10,,
size_family,20x10,20,10,10,"la,swv",continuous_exploratory,uniform,"[1.0, 99.0]",2,-9190.23970026918,18384.47940053836,18395.681205457444,KS_continuous,0.028727272727272712,0.072271996956213
size_family,20x10,20,10,10,"la,swv",continuous_exploratory,weibull_min,"[2.5083857055122123, -12.357440349215988, 71.88460020327756]",3,-9441.168928418803,18888.337856837607,18905.14056421623,KS_continuous,0.06448914466614442,1.126640972375219e-07
size_family,20x10,20,10,10,"la,swv",continuous_exploratory,norm,"[51.305, 27.76178983783286]",2,-9485.19828438216,18974.39656876432,18985.598373683406,KS_continuous,0.06173688019823309,4.5404495132785985e-07
size_family,20x10,20,10,10,"la,swv",continuous_exploratory,lognorm,"[3.309443550035912e-06, -8388606.999999996, 8388658.30495406]",3,-9485.19837689198,18976.39675378396,18993.199461162585,KS_continuous,0.06173705894289494,4.5400475152541305e-07
size_family,20x10,20,10,10,"la,swv",continuous_exploratory,gamma,"[5760.410707634503, -2056.1200950405655, 0.3658470660595503]",3,-9485.459111285945,18976.91822257189,18993.720929950516,KS_continuous,0.06215664426144929,3.6854340126068576e-07
size_family,20x10,20,10,10,"la,swv",continuous_exploratory,expon,"[1.0, 50.305]",2,-9836.208951488028,19676.417902976056,19687.61970789514,KS_continuous,0.175618245098076,2.017121546429282e-54
size_family,20x15,20,15,18,"abz,swv,ta",discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-24867.919004335698,49735.838008671395,49735.838008671395,chi2_uniform_1_100_bins10,403.7814814814815,2.1369052985130363e-81
size_family,20x15,20,15,18,"abz,swv,ta",discrete,discrete_uniform_minmax,"{""low"": 1, ""high"": 100}",2,-24867.919004335698,49739.838008671395,49753.0263171365,chi2_uniform_minmax_bins10,403.7814814814815,2.1369052985130363e-81
size_family,20x15,20,15,18,"abz,swv,ta",discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-24921.650790942804,49843.30158188561,49843.30158188561,chi2_uniform_0_100_bins10,431.5390202020202,2.5286135140953517e-87
size_family,20x15,20,15,18,"abz,swv,ta",discrete,poisson,"{""mu"": 45.94851851851852}",1,-64082.76970553581,128167.53941107162,128174.13356530416,,,
size_family,20x15,20,15,18,"abz,swv,ta",discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-inf,inf,inf,chi2_uniform_1_99_bins10,,
size_family,20x15,20,15,18,"abz,swv,ta",discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-inf,inf,inf,chi2_uniform_0_99_bins10,,
size_family,20x15,20,15,18,"abz,swv,ta",continuous_exploratory,uniform,"[1.0, 99.0]",2,-24813.647190726784,49631.29438145357,49644.482689918674,KS_continuous,0.10624579124579125,1.5592995148789646e-53
size_family,20x15,20,15,18,"abz,swv,ta",continuous_exploratory,weibull_min,"[1.699618242074017, -1.2011404112365298, 52.742404183552125]",3,-25297.062779788845,50600.12555957769,50619.90802227535,KS_continuous,0.07007481916639469,1.676643777244697e-23
size_family,20x15,20,15,18,"abz,swv,ta",continuous_exploratory,gamma,"[2.7677093992439, -4.8737597358365825, 18.362579965152882]",3,-25415.55456930214,50837.10913860428,50856.89160130194,KS_continuous,0.07569740694382132,2.3416314513781204e-27
size_family,20x15,20,15,18,"abz,swv,ta",continuous_exploratory,lognorm,"[0.3390142744964482, -39.0004590277955, 80.31684255296051]",3,-25505.305988589367,51016.611977178734,51036.39443987639,KS_continuous,0.07644022232803072,6.884842149565267e-28
size_family,20x15,20,15,18,"abz,swv,ta",continuous_exploratory,norm,"[45.94851851851852, 27.941333010395283]",2,-25644.846216481426,51293.69243296285,51306.88074142796,KS_continuous,0.09148567783771677,8.830964027663088e-40
size_family,20x15,20,15,18,"abz,swv,ta",continuous_exploratory,expon,"[1.0, 44.94851851851852]",2,-25949.796130493873,51903.592260987745,51916.78056945285,KS_continuous,0.13257957483227895,3.135733746777662e-83
size_family,20x20,20,20,14,"ta,yn",discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-25732.671160753704,51465.34232150741,51465.34232150741,chi2_uniform_1_99_bins10,568.5764642857141,1.156277796880751e-116
size_family,20x20,20,20,14,"ta,yn",discrete,discrete_uniform_minmax,"{""low"": 1, ""high"": 99}",2,-25732.671160753704,51469.34232150741,51482.60336526085,chi2_uniform_minmax_bins10,568.5764642857141,1.156277796880751e-116
size_family,20x20,20,20,14,"ta,yn",discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-25788.953041533314,51577.90608306663,51577.90608306663,chi2_uniform_1_100_bins10,600.3964285714286,1.7215997597094105e-123
size_family,20x20,20,20,14,"ta,yn",discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-25788.953041533314,51577.90608306663,51577.90608306663,chi2_uniform_0_99_bins10,651.3571428571429,1.9651215902345602e-134
size_family,20x20,20,20,14,"ta,yn",discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-25844.674894311054,51689.34978862211,51689.34978862211,chi2_uniform_0_100_bins10,628.0072694805195,2.034386983130453e-129
size_family,20x20,20,20,14,"ta,yn",discrete,poisson,"{""mu"": 44.75017857142857}",1,-63006.25713756169,126014.51427512338,126021.1447970001,,,
size_family,20x20,20,20,14,"ta,yn",continuous_exploratory,uniform,"[1.0, 98.0]",2,-25675.817880555198,51355.635761110396,51368.89680486384,KS_continuous,0.1405612244897959,5.435902941070786e-97
size_family,20x20,20,20,14,"ta,yn",continuous_exploratory,weibull_min,"[1.7203346450591614, -0.8646109736449574, 51.09341815883084]",3,-25995.780143971733,51997.56028794347,52017.451853573635,KS_continuous,0.05809851678706712,7.145716954465053e-17
size_family,20x20,20,20,14,"ta,yn",continuous_exploratory,gamma,"[3.000867729657738, -5.209869250442107, 16.648528972598708]",3,-26096.46663798237,52198.93327596474,52218.824841594906,KS_continuous,0.06125157237319123,1.0467675195647975e-18
size_family,20x20,20,20,14,"ta,yn",continuous_exploratory,lognorm,"[0.35691407885102217, -32.528002321095634, 72.61592490562325]",3,-26173.63045159375,52353.2609031875,52373.15246881767,KS_continuous,0.06556442617569669,2.2571670917659225e-21
size_family,20x20,20,20,14,"ta,yn",continuous_exploratory,norm,"[44.75017857142857, 26.90739907475474]",2,-26383.503106978467,52771.006213956935,52784.26725771038,KS_continuous,0.08369583042421003,1.4187077898336932e-34
size_family,20x20,20,20,14,"ta,yn",continuous_exploratory,expon,"[1.0, 43.75017857142857]",2,-26759.5758887965,53523.151777593,53536.41282134644,KS_continuous,0.15280740199066217,1.221902489358194e-114
size_family,30x10,30,10,5,la,discrete,discrete_uniform_minmax,"{""low"": 5, ""high"": 99}",2,-6830.815337400812,13665.630674801623,13676.257115575803,chi2_uniform_minmax_bins10,3.841555555555556,0.9215278818567507
size_family,30x10,30,10,5,la,discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-6892.679775201885,13785.35955040377,13785.35955040377,chi2_uniform_1_99_bins10,24.16073333333333,0.004054298675159967
size_family,30x10,30,10,5,la,discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-6907.7552789821375,13815.510557964275,13815.510557964275,chi2_uniform_1_100_bins10,25.653333333333332,0.0023274096579683086
size_family,30x10,30,10,5,la,discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-6907.7552789821375,13815.510557964275,13815.510557964275,chi2_uniform_0_99_bins10,32.306666666666665,0.0001762238378675575
size_family,30x10,30,10,5,la,discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-6922.68077526189,13845.36155052378,13845.36155052378,chi2_uniform_0_100_bins10,34.54135757575759,7.17642455348054e-05
size_family,30x10,30,10,5,la,discrete,poisson,"{""mu"": 51.70333333333333}",1,-16337.400935891632,32676.801871783264,32682.115092170356,,,
size_family,30x10,30,10,5,la,continuous_exploratory,uniform,"[5.0, 94.0]",2,-6814.942173405005,13633.88434681001,13644.51078758419,KS_continuous,0.020751773049645393,0.5312225317666734
size_family,30x10,30,10,5,la,continuous_exploratory,weibull_min,"[2.265652394623136, -6.138450888234599, 65.36747965316638]",3,-7054.594801028574,14115.189602057148,14131.129263218418,KS_continuous,0.07684224794887418,3.7720921412558774e-08
size_family,30x10,30,10,5,la,continuous_exploratory,norm,"[51.70333333333333, 27.39076466418725]",2,-7093.716650596468,14191.433301192936,14202.059741967116,KS_continuous,0.06877116462462884,1.2988553318167672e-06
size_family,30x10,30,10,5,la,continuous_exploratory,lognorm,"[0.010221652318118777, -2628.061433411848, 2679.6247799883563]",3,-7093.685335693074,14193.370671386148,14209.310332547419,KS_continuous,0.06956863330966556,9.317666700997634e-07
size_family,30x10,30,10,5,la,continuous_exploratory,gamma,"[58530.05060404388, -6574.934051551318, 0.11321768682436983]",3,-7093.700619919913,14193.401239839826,14209.340901001096,KS_continuous,0.06899265472488858,1.1848485254186854e-06
size_family,30x10,30,10,5,la,continuous_exploratory,expon,"[5.0, 46.70333333333333]",2,-7265.723309572545,14535.44661914509,14546.07305991927,KS_continuous,0.15734195683099966,6.688267614766605e-33
size_family,30x15,30,15,10,ta,discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-20678.039325605652,41356.078651211305,41356.078651211305,chi2_uniform_1_99_bins10,11.254,0.25869959207654747
size_family,30x15,30,15,10,ta,discrete,discrete_uniform_minmax,"{""low"": 1, ""high"": 99}",2,-20678.039325605652,41360.078651211305,41372.902316562824,chi2_uniform_minmax_bins10,11.254,0.25869959207654747
size_family,30x15,30,15,10,ta,discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-20723.26583694641,41446.53167389282,41446.53167389282,chi2_uniform_1_100_bins10,15.719999999999999,0.07296399690928677
size_family,30x15,30,15,10,ta,discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-20723.26583694641,41446.53167389282,41446.53167389282,chi2_uniform_0_99_bins10,16.06222222222222,0.06559353983750127
size_family,30x15,30,15,10,ta,discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-20768.042325785667,41536.084651571335,41536.084651571335,chi2_uniform_0_100_bins10,20.83447474747474,0.013406001746236499
size_family,30x15,30,15,10,ta,discrete,poisson,"{""mu"": 50.746}",1,-53930.11017163808,107862.22034327616,107868.63217595192,,,
size_family,30x15,30,15,10,ta,continuous_exploratory,uniform,"[1.0, 98.0]",2,-20632.353654017574,41268.70730803515,41281.53097338667,KS_continuous,0.02449886621315195,0.00886723760101294
size_family,30x15,30,15,10,ta,continuous_exploratory,weibull_min,"[2.5593994211241426, -15.389475596058148, 74.65530127546265]",3,-21345.741136827157,42697.482273654314,42716.717771681586,KS_continuous,0.06474204816095541,7.66551014229448e-17
size_family,30x15,30,15,10,ta,continuous_exploratory,norm,"[50.746, 28.392356866671786]",2,-21442.763329822774,42889.52665964555,42902.35032499707,KS_continuous,0.062299279960960185,1.2599555485371747e-15
size_family,30x15,30,15,10,ta,continuous_exploratory,lognorm,"[2.7075795195925553e-05, -1048574.9999999995, 1048625.7456156262]",3,-21442.76635053021,42891.53270106042,42910.768199087695,KS_continuous,0.062297978006617016,1.2618005967091486e-15
size_family,30x15,30,15,10,ta,continuous_exploratory,gamma,"[2092.822734174859, -1248.8846384587505, 0.6209972217833517]",3,-21444.47275781659,42894.94551563318,42914.181013660454,KS_continuous,0.061620511511813386,2.690707925041186e-15
size_family,30x15,30,15,10,ta,continuous_exploratory,expon,"[1.0, 49.746]",2,-22081.185262629613,44166.370525259226,44179.194190610746,KS_continuous,0.16608268705636559,5.930098210856413e-109
size_family,30x20,30,20,10,ta,discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-27570.71910080754,55141.43820161508,55141.43820161508,chi2_uniform_1_99_bins10,8.613600000000002,0.4736787255470153
size_family,30x20,30,20,10,ta,discrete,discrete_uniform_minmax,"{""low"": 1, ""high"": 99}",2,-27570.71910080754,55145.43820161508,55158.837231111494,chi2_uniform_minmax_bins10,8.613600000000002,0.4736787255470153
size_family,30x20,30,20,10,ta,discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-27631.02111592855,55262.0422318571,55262.0422318571,chi2_uniform_1_100_bins10,15.306666666666667,0.0828495128083981
size_family,30x20,30,20,10,ta,discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-27631.02111592855,55262.0422318571,55262.0422318571,chi2_uniform_0_99_bins10,24.446666666666665,0.003648289132428353
