scope_type,scope_value,benchmark_family,jobs,machines,model_type,distribution,params,n_params,loglik,aic,bic,gof_test,gof_stat,gof_pvalue
file,la05,la,10,5,continuous_exploratory,gamma,"[4.657735826756621, -10.962707994818478, 12.156703064809495]",3,-230.5293544623604,467.0587089247208,472.79477794100524,KS_continuous,0.06153575688730517,0.9854757097778101
file,la05,la,10,5,continuous_exploratory,lognorm,"[0.2704418856839018, -48.308333707828325, 90.63384993339328]",3,-230.9034125958357,467.8068251916714,473.54289420795584,KS_continuous,0.06528605935121701,0.9740197512628663
file,la05,la,10,5,continuous_exploratory,norm,"[45.66, 25.13850433100585]",2,-232.1669620500665,468.333924100133,472.1579701109893,KS_continuous,0.08906972482238923,0.789601574694864
file,la05,la,10,5,continuous_exploratory,expon,"[5.0, 40.66]",2,-235.26224041001004,474.5244808200201,478.3485268308764,KS_continuous,0.17769725681946652,0.07485914906958713
file,la06,la,15,5,discrete,discrete_uniform_minmax,"{""low"": 7, ""high"": 98}",2,-339.13414327867804,682.2682865573561,686.9032627844286,chi2_uniform_minmax_bins10,6.5051851851851845,0.6884841269165619
file,la06,la,15,5,discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-344.6339887600942,689.2679775201884,689.2679775201884,chi2_uniform_1_99_bins10,7.896000000000001,0.5446600285317429
file,la06,la,15,5,discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-345.3877639491069,690.7755278982138,690.7755278982138,chi2_uniform_1_100_bins10,7.533333333333333,0.5817695222593386
file,la06,la,15,5,discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-345.3877639491069,690.7755278982138,690.7755278982138,chi2_uniform_0_99_bins10,6.7333333333333325,0.664860735926295
file,la06,la,15,5,discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-346.13403876309445,692.2680775261889,692.2680775261889,chi2_uniform_0_100_bins10,8.162787878787876,0.5178281446300099
file,la06,la,15,5,discrete,poisson,"{""mu"": 53.22666666666667}",1,-745.562679660717,1493.125359321434,1495.4428474349702,,,
file,la06,la,15,5,continuous_exploratory,uniform,"[7.0, 91.0]",2,-338.3144629887638,680.6289259775276,685.2639022046002,KS_continuous,0.05670329670329671,0.9581544788279965
file,la06,la,15,5,continuous_exploratory,weibull_min,"[2.278750813066317, -2.881455611338172, 63.394173019153556]",3,-349.8882001143764,705.7764002287528,712.7288645693617,KS_continuous,0.10444687835178035,0.3613693718732617
file,la06,la,15,5,continuous_exploratory,norm,"[53.22666666666667, 26.382607065177535]",2,-351.87326272115877,707.7465254423175,712.3815016693901,KS_continuous,0.10206352214018144,0.389149528904134
file,la06,la,15,5,continuous_exploratory,lognorm,"[0.07809119631902549, -285.1483968074862, 337.34623561454737]",3,-351.7627792382721,709.5255584765442,716.4780228171531,KS_continuous,0.10552877390751414,0.3491893283842099
