instance_id,jobs,machines,complexity_0_1,category,s_iforest,s_lof,s_mahalanobis,s_knn,complexity_prior_0_1,blend_w_unsup,blend_w_prior,blend_w_sup
31-33-0.pt,31,33,0.1512375655895792,medium,0.040290982544802345,0.09685794813971162,4.084370841811088e-07,0.0008991803093183188,0.7358945818165791,0.7,0.3,0.0
31-34-0.pt,31,34,0.1441366751973783,medium,0.038523713932051444,0.07186715295625554,6.165444133596604e-07,0.0015663808765821686,0.742602222860708,0.7,0.3,0.0
31-35-0.pt,31,35,0.1604912353286469,medium,0.0479190996472004,0.09401499906933923,4.012649727588868e-07,0.0005795737068993902,0.7494440736437171,0.7,0.3,0.0
31-36-0.pt,31,36,0.1401604508851543,medium,0.0514042435491859,0.032473991183688634,3.586924813531383e-07,0.0007436856682852748,0.7559626891595114,0.7,0.3,0.0
31-37-0.pt,31,37,0.19573771504188592,hard,0.05854021109399467,0.149657013294481,1.6558180039277958e-07,0.0021830602538652866,0.7626698206634903,0.7,0.3,0.0
31-38-0.pt,31,38,0.1876886117247307,hard,0.061964880559814965,0.11788606400536528,9.614387205986465e-07,0.0023033200430240906,0.7692547192627821,0.7,0.3,0.0
31-39-0.pt,31,39,0.22688611378617332,hard,0.08281182726992842,0.18402514496190345,5.540351547704534e-07,0.0022580917724686154,0.7753090987942931,0.7,0.3,0.0
31-4-0.pt,31,4,0.1075502286272013,medium,0.3038407868843952,0.15194610942104572,0.0067376777300883085,0.021166716589345793,0.3951512945050282,0.7,0.3,0.0
31-40-0.pt,31,40,0.19468448500574026,hard,0.07971157709397911,0.10037031323564614,6.908911193123382e-07,0.0021421827028449136,0.7819937410084091,0.7,0.3,0.0
31-41-0.pt,31,41,0.1918354979046994,hard,0.08651663036795053,0.07778109986216421,6.314939121297076e-07,0.0024234806167768345,0.7884849299076165,0.7,0.3,0.0
31-42-0.pt,31,42,0.22566842752923932,hard,0.10721273821416342,0.13010025821515542,6.762140480302599e-07,0.0030296307934224915,0.7947826093594538,0.7,0.3,0.0
31-43-0.pt,31,43,0.21941042980419453,hard,0.10660207921506774,0.10922888911917147,4.684634480428806e-07,0.0013127770987849132,0.8008491004808346,0.7,0.3,0.0
31-44-0.pt,31,44,0.23329339369304966,hard,0.11027446295276384,0.1305373622208865,6.853785792898103e-07,0.0018556954976189349,0.8069697160998953,0.7,0.3,0.0
31-45-0.pt,31,45,0.20573074516047923,hard,0.12659282316686785,0.03958462373586358,5.29832355407591e-07,0.002269926136966482,0.812588800130822,0.7,0.3,0.0
31-46-0.pt,31,46,0.24811755121504714,hard,0.1451465379268411,0.11659528809641392,9.051992791333837e-07,0.00145616919093849,0.8185797895884398,0.7,0.3,0.0
31-47-0.pt,31,47,0.23288160377440448,hard,0.15505069454262443,0.06146343422084747,1.448477488232171e-06,0.0018796269761265614,0.8245361254263517,0.7,0.3,0.0
31-48-0.pt,31,48,0.25512918528807205,hard,0.1753549059089026,0.08695327685075964,8.382393518010163e-07,0.0016549258634271605,0.8308227141034016,0.7,0.3,0.0
31-49-0.pt,31,49,0.2897113778326879,hard,0.2067212735221365,0.13194147709861048,1.022154855216166e-06,0.0012912337302248415,0.8367019870793004,0.7,0.3,0.0
31-5-0.pt,31,5,0.06140485937541621,easy,0.23659040692657174,0.08236733420895885,0.002398152268827165,0.013094215150684102,0.42341289303027896,0.7,0.3,0.0
31-50-0.pt,31,50,0.29381260756423305,hard,0.25185361244684473,0.08892342726785737,1.413482321105359e-06,0.0016265876934611952,0.8423517292901807,0.7,0.3,0.0
31-6-0.pt,31,6,0.041617859226336054,easy,0.18470552835850965,0.05849503585771549,0.0013024786943574337,0.010501951829258697,0.44719252255546965,0.7,0.3,0.0
31-7-0.pt,31,7,0.07864574183051778,easy,0.15725789424786368,0.15033774761262844,0.0005494377380288396,0.008879885855154111,0.46808785434557343,0.7,0.3,0.0
31-8-0.pt,31,8,0.056917331567503955,easy,0.11304836304067202,0.12063593902178488,0.00032194259024888165,0.005785325971523889,0.48664851015543614,0.7,0.3,0.0
