instance_id,jobs,machines,complexity_0_1,category,s_iforest,s_lof,s_knn,s_km,complexity_prior_0_1,complexity_unsupervised_0_1,complexity_supervised_0_1,cv_r2_mean_supervised,status,blend_w_unsup,blend_w_prior,blend_w_sup
34-15-0.pt,34,15,0.3930806465665077,medium,0.040752970873947046,0.07437709858384718,0.08186401426095818,0.5870833333333333,0.5997244887467258,0.5870833333333333,13.613719179867555,0.9906380919768368,1.0,0.35,0.15,0.5
34-16-0.pt,34,16,0.35502087136619925,medium,0.04021616164211329,0.07218945316969158,0.08534263709660406,0.25458333333333333,0.6110019726925349,0.25458333333333333,12.71808496280694,0.9906380919768368,1.0,0.35,0.15,0.5
34-17-0.pt,34,17,0.35305066335784746,medium,0.05276705516135978,0.06854176521787156,0.08865961195952377,0.11625,0.6221455721012734,0.11625,12.782443978585883,0.9906380919768368,1.0,0.35,0.15,0.5
34-18-0.pt,34,18,0.3886052252915346,medium,0.0631302721485455,0.06394780889917138,0.09166543615822569,0.51,0.6325785249782674,0.51,13.531642436070145,0.9906380919768368,1.0,0.35,0.15,0.5
34-19-0.pt,34,19,0.38792264645324237,medium,0.03707039950386508,0.057316358750795764,0.09446942068058425,0.12875,0.6425960626330995,0.12875,13.86796875711767,0.9906380919768368,1.0,0.35,0.15,0.5
34-2-0.pt,34,2,0.20364515558751786,easy,0.5366988455518364,0.24850346154552874,0.024826480660505804,0.95625,0.32859624433455875,0.95625,7.3668862439025675,0.9906380919768368,1.0,0.35,0.15,0.5
34-20-0.pt,34,20,0.40909371292522834,medium,0.03303231216605218,0.054140074295733025,0.09731822539795494,0.6358333333333334,0.6520217893775394,0.6358333333333334,14.053881621761981,0.9906380919768368,1.0,0.35,0.15,0.5
34-21-0.pt,34,21,0.4313976894721604,medium,0.022817423574523252,0.052914276455898364,0.10016787826736978,0.6025,0.6609543674246413,0.6025,14.78911332687877,0.9906380919768368,1.0,0.35,0.15,0.5
34-22-0.pt,34,22,0.4321834871568947,medium,0.015151463426078555,0.04906559471571579,0.10342623093333199,0.61,0.6703046721793938,0.61,14.803101687229375,0.9906380919768368,1.0,0.35,0.15,0.5
34-23-0.pt,34,23,0.4386045209850212,medium,0.015113364203451368,0.04310587227848407,0.10641654076954953,0.3425,0.6788314588902611,0.3425,15.257255110649854,0.9906380919768368,1.0,0.35,0.15,0.5
34-24-0.pt,34,24,0.4563871782862349,hard,0.010404692817399263,0.03706552707991648,0.10897155003308606,0.23041666666666666,0.6874148594676811,0.23041666666666666,15.92405064640548,0.9906380919768368,1.0,0.35,0.15,0.5
34-25-0.pt,34,25,0.47093411333002133,hard,0.006781148211832821,0.035771351987722785,0.1116801925343542,0.5845833333333333,0.6959553909334096,0.5845833333333333,16.045500580007786,0.9906380919768368,1.0,0.35,0.15,0.5
34-26-0.pt,34,26,0.4959089216986388,hard,0.013689105837349226,0.034156609801401734,0.1146860060538828,0.6629166666666667,0.7043029025275945,0.6629166666666667,16.759614906788386,0.9906380919768368,1.0,0.35,0.15,0.5
34-27-0.pt,34,27,0.5109551640954287,hard,0.016741117610196282,0.02877449691210021,0.11704424296057613,0.50875,0.7125203210399086,0.50875,17.379756954466245,0.9906380919768368,1.0,0.35,0.15,0.5
34-28-0.pt,34,28,0.5167458414881095,hard,0.03517713996029887,0.025380093270610398,0.11931272360477231,0.28041666666666665,0.7202206404139916,0.28041666666666665,17.777065599371777,0.9906380919768368,1.0,0.35,0.15,0.5
34-29-0.pt,34,29,0.5165407768897812,hard,0.024654853942936573,0.02328889330773488,0.12182511257734689,0.01875,0.7280618105827048,0.01875,18.015858725244225,0.9906380919768368,1.0,0.35,0.15,0.5
34-3-0.pt,34,3,0.23004130546482204,medium,0.45228676882963514,0.19428319857348728,0.028079815724111078,0.8970833333333333,0.37307430278910797,0.8970833333333333,8.241937926181008,0.9906380919768368,1.0,0.35,0.15,0.5
34-30-0.pt,34,30,0.5432800561604143,hard,0.020205318919025158,0.021291962346906886,0.12449696080999725,0.54375,0.7355964432023008,0.54375,18.362083497495448,0.9906380919768368,1.0,0.35,0.15,0.5
34-31-0.pt,34,31,0.5511397018773238,hard,0.023404176925995942,0.018797792936266437,0.1269249883093558,0.53125,0.7430300747081311,0.53125,18.620141549377916,0.9906380919768368,1.0,0.35,0.15,0.5
34-32-0.pt,34,32,0.5683400853668542,hard,0.02544440219358537,0.01848118266859613,0.1294213516063917,0.24916666666666668,0.7502684325741962,0.24916666666666668,19.430458912567325,0.9906380919768368,1.0,0.35,0.15,0.5
34-33-0.pt,34,33,0.6312114111635322,hard,0.029723999403517724,0.020210568800864314,0.13192624164300343,0.40958333333333335,0.7574799136287717,0.40958333333333335,21.268706672600597,0.9906380919768368,1.0,0.35,0.15,0.5
34-34-0.pt,34,34,0.5884464261917558,hard,0.05845299193815964,0.022931122700831478,0.13439824704246128,0.42625,0.7649704946253216,0.42625,19.89384207087325,0.9906380919768368,1.0,0.35,0.15,0.5
34-35-0.pt,34,35,0.6038185788759909,hard,0.06284884767298742,0.02669722369322497,0.13692566449017504,0.39,0.7724028396316229,0.39,20.41266035874222,0.9906380919768368,1.0,0.35,0.15,0.5
34-36-0.pt,34,36,0.6037313636037608,hard,0.0767579085351786,0.03301286461562227,0.13914877752027222,0.08083333333333333,0.7790130949424602,0.08083333333333333,20.70079863284313,0.9906380919768368,1.0,0.35,0.15,0.5
34-37-0.pt,34,37,0.6492111776017764,hard,0.07070670172527405,0.038740488660523514,0.14133087109838866,0.3570833333333333,0.7859781443747382,0.3570833333333333,21.877699140635915,0.9906380919768368,1.0,0.35,0.15,0.5
34-38-0.pt,34,38,0.7083233222100562,hard,0.09498525550070668,0.043275846300556885,0.1437192328918278,0.3225,0.7930825252046599,0.3225,23.781972519328715,0.9906380919768368,1.0,0.35,0.15,0.5
34-39-0.pt,34,39,0.679291255472888,hard,0.0844933629463417,0.044835773754177015,0.14642392698832712,0.29333333333333333,0.79971243326133,0.29333333333333333,22.886425234013963,0.9906380919768368,1.0,0.35,0.15,0.5
34-4-0.pt,34,4,0.23789371769958026,medium,0.2616403156368467,0.1775084759550703,0.0349019559983713,0.3575,0.407951001317191,0.3575,8.989131897902924,0.9906380919768368,1.0,0.35,0.15,0.5
34-40-0.pt,34,40,0.68405386713445,hard,0.09387483694812876,0.044858508523083596,0.14991320129900065,0.29791666666666666,0.8063672551750697,0.29791666666666666,23.030376882502782,0.9906380919768368,1.0,0.35,0.15,0.5
34-41-0.pt,34,41,0.6826080703378609,hard,0.10316137012438924,0.048134345580423725,0.1546254418125922,0.28375,0.8126249701960483,0.28375,22.99543996848533,0.9906380919768368,1.0,0.35,0.15,0.5
34-42-0.pt,34,42,0.7163124488642755,hard,0.11061652433799217,0.05151291968363645,0.1599203900146975,0.3,0.8194477220162835,0.3,24.045927593431486,0.9906380919768368,1.0,0.35,0.15,0.5
34-43-0.pt,34,43,0.7449131190604363,hard,0.12312305362086488,0.05108439321624054,0.16625346927541182,0.28458333333333335,0.8257104530529304,0.28458333333333335,24.964886761667547,0.9906380919768368,1.0,0.35,0.15,0.5
34-44-0.pt,34,44,0.7950848676666399,hard,0.1361579332532177,0.05587362481871866,0.1744128648254172,0.315,0.8327933286700868,0.315,26.523961543641924,0.9906380919768368,1.0,0.35,0.15,0.5
34-45-0.pt,34,45,0.7652509694234275,hard,0.1542563484632659,0.06115355751376115,0.1833480598749821,0.015416666666666667,0.8389430814704535,0.015416666666666667,25.85998105645334,0.9906380919768368,1.0,0.35,0.15,0.5
34-46-0.pt,34,46,0.763470927099726,hard,0.20917510690427213,0.06543942411630163,0.19307636717641022,0.30333333333333334,0.8452480087418248,0.30333333333333334,25.52755928281851,0.9906380919768368,1.0,0.35,0.15,0.5
34-47-0.pt,34,47,0.8263810614026705,hard,0.2287380955218336,0.07147095481122351,0.20427124439001682,0.3179166666666667,0.8513781538936716,0.3179166666666667,27.505965383507046,0.9906380919768368,1.0,0.35,0.15,0.5
34-48-0.pt,34,48,0.8543095356028428,hard,0.22425200563237493,0.08216990567395348,0.21743673387417056,0.32458333333333333,0.8576647932553346,0.32458333333333333,28.38262988489708,0.9906380919768368,1.0,0.35,0.15,0.5
34-49-0.pt,34,49,0.8556191442527064,hard,0.2398338850485795,0.08838263863068362,0.23101287718157917,0.3070833333333333,0.8635758767759257,0.3070833333333333,28.438367663945154,0.9906380919768368,1.0,0.35,0.15,0.5
34-5-0.pt,34,5,0.2525808387993678,medium,0.2172101615337829,0.15060581677253268,0.039974356732139,0.7975,0.4365246550654198,0.7975,9.025363760543334,0.9906380919768368,1.0,0.35,0.15,0.5
34-50-0.pt,34,50,0.8859960344419785,hard,0.27823777539218536,0.09947392081937444,0.24578615000294227,0.195,0.8689043096877355,0.195,29.50582489731289,0.9906380919768368,1.0,0.35,0.15,0.5
34-6-0.pt,34,6,0.2642437785630522,medium,0.1513330126028044,0.13902015086435657,0.04529989094384202,0.7308333333333333,0.4603883972326146,0.7308333333333333,9.448767867816633,0.9906380919768368,1.0,0.35,0.15,0.5
34-7-0.pt,34,7,0.26875252626413165,medium,0.13930817301054405,0.12661204013985916,0.04998453901861326,0.6408333333333334,0.4816451521609844,0.6408333333333334,9.668546435840927,0.9906380919768368,1.0,0.35,0.15,0.5
34-8-0.pt,34,8,0.2490494225617777,medium,0.1367261486761608,0.11718511089141606,0.05459254985572981,0.03208333333333333,0.5010224357305944,0.03208333333333333,9.614002972091818,0.9906380919768368,1.0,0.35,0.15,0.5
34-9-0.pt,34,9,0.27951438774389825,medium,0.11948056830995507,0.10715715976362247,0.05876865352739982,0.59,0.5178993912962154,0.59,10.043300674430643,0.9906380919768368,1.0,0.35,0.15,0.5
35-10-0.pt,35,10,0.2840770305140918,medium,0.10980121379571559,0.10643182745727046,0.06563796601969295,0.5904166666666667,0.5380990021801852,0.5904166666666667,10.17935599985581,0.9906380919768368,1.0,0.35,0.15,0.5
35-11-0.pt,35,11,0.33652574423508164,medium,0.08366998632455107,0.09551041695188728,0.06991525870393427,0.4008333333333333,0.5536396238794956,0.4008333333333333,12.016105060942506,0.9906380919768368,1.0,0.35,0.15,0.5
